review,sentiment,total_words,total_chars,sequence,padded
short film certainly pull punch,0,5,31,"[238, 5, 294, 620, 1933]","[ 238    5  294  620 1933    0    0    0    0    0    0    0    0    0
    0    0]"
graphic far best part game,0,5,26,"[621, 90, 18, 135, 260]",[621  90  18 135 260   0   0   0   0   0   0   0   0   0   0   0]
number one best th game series,1,6,30,"[543, 6, 18, 622, 260, 323]",[543   6  18 622 260 323   0   0   0   0   0   0   0   0   0   0]
deserves strong love,1,3,20,"[744, 363, 26]",[744 363  26   0   0   0   0   0   0   0   0   0   0   0   0   0]
insane game,1,2,11,"[1934, 260]","[1934  260    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
massive level massive unlockable character massive game,1,7,55,"[745, 542, 745, 1935, 39, 745, 260]","[ 745  542  745 1935   39  745  260    0    0    0    0    0    0    0
    0    0]"
waste money game,1,3,16,"[84, 85, 260]",[ 84  85 260   0   0   0   0   0   0   0   0   0   0   0   0   0]
kind money wasted properly,1,4,26,"[204, 85, 359, 926]",[204  85 359 926   0   0   0   0   0   0   0   0   0   0   0   0]
actually graphic good time,1,4,26,"[205, 621, 1, 8]",[205 621   1   8   0   0   0   0   0   0   0   0   0   0   0   0]
today graphic crap,0,3,18,"[360, 621, 324]",[360 621 324   0   0   0   0   0   0   0   0   0   0   0   0   0]
say canada fun game aye,1,5,23,"[55, 1936, 364, 260, 1937]","[  55 1936  364  260 1937    0    0    0    0    0    0    0    0    0
    0    0]"
game rock,1,2,9,"[260, 623]",[260 623   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
buy it play it enjoy it love it,1,8,31,"[150, 7, 295, 7, 261, 7, 26, 7]",[150   7 295   7 261   7  26   7   0   0   0   0   0   0   0   0]
pure brilliance,1,2,15,"[927, 928]",[927 928   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
flick doomed conception,0,3,23,"[544, 1938, 1939]","[ 544 1938 1939    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
least bit interested,0,3,20,"[262, 199, 929]",[262 199 929   0   0   0   0   0   0   0   0   0   0   0   0   0]
funny,0,1,5,[177],[177   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
even talented carrell can t save this,0,7,37,"[19, 930, 1940, 106, 74, 931, 111]","[  19  930 1940  106   74  931  111    0    0    0    0    0    0    0
    0    0]"
co star fare much better people like morgan freeman jonah hill ed helm wasted,0,14,77,"[1941, 81, 932, 33, 36, 68, 11, 1257, 1942, 1943, 1944, 933, 1945, 359]","[1941   81  932   33   36   68   11 1257 1942 1943 1944  933 1945  359
    0    0]"
story predictable lazy,0,3,22,"[98, 320, 1258]","[  98  320 1258    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
real effect work presence animal integration scene worst obvious blue green screen work ever seen,0,15,97,"[91, 263, 14, 1259, 1946, 1947, 78, 51, 1260, 545, 624, 112, 14, 20, 99]","[  91  263   14 1259 1946 1947   78   51 1260  545  624  112   14   20
   99    0]"
whatever cost much translate quality that sure,0,7,46,"[459, 412, 33, 1948, 24, 82, 188]","[ 459  412   33 1948   24   82  188    0    0    0    0    0    0    0
    0    0]"
film succeeds despite perhaps of obviously meagre budget,1,8,56,"[5, 1949, 546, 547, 453, 460, 1950, 616]","[   5 1949  546  547  453  460 1950  616    0    0    0    0    0    0
    0    0]"
glad film go obvious choice lesser film certainly would have,1,10,60,"[325, 5, 21, 1260, 461, 1951, 5, 294, 17, 625]","[ 325    5   21 1260  461 1951    5  294   17  625    0    0    0    0
    0    0]"
hard fall head over heel love girl,1,7,34,"[213, 548, 539, 462, 1952, 26, 365]","[ 213  548  539  462 1952   26  365    0    0    0    0    0    0    0
    0    0]"
negative insipid enough cause regret another hour life wasted front screen,0,11,74,"[934, 1953, 61, 935, 936, 136, 104, 92, 359, 463, 112]","[ 934 1953   61  935  936  136  104   92  359  463  112    0    0    0
    0    0]"
long whiny pointless,0,3,20,"[89, 1261, 937]","[  89 1261  937    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
recommend waiting future effort let one go,0,7,42,"[40, 413, 1262, 731, 296, 6, 21]","[  40  413 1262  731  296    6   21    0    0    0    0    0    0    0
    0    0]"
excellent cast story line performance,1,5,37,"[34, 190, 98, 130, 178]",[ 34 190  98 130 178   0   0   0   0   0   0   0   0   0   0   0]
totally believable,1,2,18,"[158, 549]",[158 549   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
anne heche utterly convincing,1,4,29,"[938, 1954, 626, 746]","[ 938 1954  626  746    0    0    0    0    0    0    0    0    0    0
    0    0]"
sam shepard portrayal gung ho marine sobering,1,7,45,"[1955, 1956, 464, 1957, 1958, 1959, 1960]","[1955 1956  464 1957 1958 1959 1960    0    0    0    0    0    0    0
    0    0]"
sat riveted tv screen,1,4,21,"[550, 1961, 366, 112]","[ 550 1961  366  112    0    0    0    0    0    0    0    0    0    0
    0    0]"
give one resounding,1,3,19,"[107, 6, 1962]","[ 107    6 1962    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
think tom hank good actor,1,5,25,"[45, 1263, 1963, 1, 121]","[  45 1263 1963    1  121    0    0    0    0    0    0    0    0    0
    0    0]"
enjoyed reading book child little,1,5,33,"[214, 627, 465, 414, 63]",[214 627 465 414  63   0   0   0   0   0   0   0   0   0   0   0]
disappointed movie,0,2,18,"[71, 2]",[71  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
one character totally annoying voice give feeling fingernail chalkboard,0,9,71,"[6, 39, 158, 466, 326, 107, 297, 1964, 1965]","[   6   39  158  466  326  107  297 1964 1965    0    0    0    0    0
    0    0]"
totally unnecessary train roller coaster scene,0,6,46,"[158, 1966, 1967, 1968, 1969, 78]","[ 158 1966 1967 1968 1969   78    0    0    0    0    0    0    0    0
    0    0]"
absolutely warmth charm scene character,0,5,39,"[131, 1264, 456, 78, 39]","[ 131 1264  456   78   39    0    0    0    0    0    0    0    0    0
    0    0]"
movie totally grate nerve,0,4,25,"[2, 158, 1970, 1971]","[   2  158 1970 1971    0    0    0    0    0    0    0    0    0    0
    0    0]"
performance improved improvisation actor twice much worry about whether delivering line well whether line good,0,15,110,"[178, 1972, 1973, 121, 415, 33, 1265, 1266, 628, 1267, 130, 16, 628, 130, 1]","[ 178 1972 1973  121  415   33 1265 1266  628 1267  130   16  628  130
    1    0]"
and quite honestly often good,0,5,29,"[298, 97, 747, 939, 1]",[298  97 747 939   1   0   0   0   0   0   0   0   0   0   0   0]
often dialogue really follow one line another fit surroundings,0,9,62,"[939, 299, 13, 748, 6, 130, 136, 105, 1974]","[ 939  299   13  748    6  130  136  105 1974    0    0    0    0    0
    0    0]"
crackle unpredictable youthful energy honestly found hard follow concentrate meander badly,0,11,90,"[1975, 1268, 1976, 749, 747, 113, 213, 748, 1977, 1978, 1269]","[1975 1268 1976  749  747  113  213  748 1977 1978 1269    0    0    0
    0    0]"
generally great thing it,1,4,24,"[629, 3, 31, 7]",[629   3  31   7   0   0   0   0   0   0   0   0   0   0   0   0]
say worth hour time though,0,5,26,"[55, 93, 104, 8, 215]",[ 55  93 104   8 215   0   0   0   0   0   0   0   0   0   0   0]
suspense builder good cross line g pg,1,7,37,"[467, 1979, 1, 1980, 130, 1270, 1271]","[ 467 1979    1 1980  130 1270 1271    0    0    0    0    0    0    0
    0    0]"
especially liked non cliche choice parent movie could predict dialog verbatim writing movie made better selection,1,16,113,"[216, 239, 630, 940, 461, 941, 2, 37, 1981, 942, 1982, 264, 2, 28, 36, 240]","[ 216  239  630  940  461  941    2   37 1981  942 1982  264    2   28
   36  240]"
want movie that gross give chill great choice,1,8,45,"[94, 2, 82, 943, 107, 1983, 3, 461]","[  94    2   82  943  107 1983    3  461    0    0    0    0    0    0
    0    0]"
alexander nevsky great film,1,4,27,"[1272, 1984, 3, 5]","[1272 1984    3    5    0    0    0    0    0    0    0    0    0    0
    0    0]"
amazing film artist one important whoever lived,1,7,47,"[62, 5, 1273, 6, 408, 1985, 1274]","[  62    5 1273    6  408 1985 1274    0    0    0    0    0    0    0
    0    0]"
glad pretentious piece planned dodge stratus big shot gonna help movie maker restrained movie business quebec,0,16,109,"[325, 1275, 80, 1986, 1987, 1988, 151, 327, 944, 750, 2, 1276, 1989, 2, 468, 1990]","[ 325 1275   80 1986 1987 1988  151  327  944  750    2 1276 1989    2
  468 1990]"
first movie given year,1,4,22,"[42, 2, 416, 58]",[ 42   2 416  58   0   0   0   0   0   0   0   0   0   0   0   0]
ever movie needed word of mouth promote it,1,8,42,"[20, 2, 469, 322, 453, 551, 1991, 7]","[  20    2  469  322  453  551 1991    7    0    0    0    0    0    0
    0    0]"
overall film interesting thought provoking,1,5,42,"[159, 5, 241, 128, 1277]","[ 159    5  241  128 1277    0    0    0    0    0    0    0    0    0
    0    0]"
plus well paced suited relatively short run time,1,8,48,"[417, 16, 945, 1992, 1278, 238, 631, 8]","[ 417   16  945 1992 1278  238  631    8    0    0    0    0    0    0
    0    0]"
give one look,1,3,13,"[107, 6, 48]",[107   6  48   0   0   0   0   0   0   0   0   0   0   0   0   0]
gave,1,1,4,[367],[367   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
wind lion well written superbly acted,1,6,37,"[751, 1279, 16, 752, 1280, 946]","[ 751 1279   16  752 1280  946    0    0    0    0    0    0    0    0
    0    0]"
true classic,1,2,12,"[742, 418]",[742 418   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
actually turned pretty decent far b list horror suspense film go,1,11,64,"[205, 632, 46, 419, 90, 1281, 633, 368, 467, 5, 21]","[ 205  632   46  419   90 1281  633  368  467    5   21    0    0    0
    0    0]"
definitely worth checking out,1,4,29,"[65, 93, 1282, 290]","[  65   93 1282  290    0    0    0    0    0    0    0    0    0    0
    0    0]"
problem script,0,2,14,"[66, 114]",[ 66 114   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
horrendous,0,1,10,[1993],"[1993    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
nothing believable all,0,3,22,"[95, 549, 100]",[ 95 549 100   0   0   0   0   0   0   0   0   0   0   0   0   0]
suspense feeling frustration retarded girl were,0,6,47,"[467, 297, 1283, 1994, 365, 947]","[ 467  297 1283 1994  365  947    0    0    0    0    0    0    0    0
    0    0]"
manna heaven terrific film predictable unpredictable time,1,7,57,"[1995, 1284, 948, 5, 320, 1268, 8]","[1995 1284  948    5  320 1268    8    0    0    0    0    0    0    0
    0    0]"
scene often funny occasionally touching character evaluate life going,1,9,69,"[78, 939, 177, 1285, 1286, 39, 1996, 92, 67]","[  78  939  177 1285 1286   39 1996   92   67    0    0    0    0    0
    0    0]"
cast veteran actor nostalgia trip,1,5,33,"[190, 1997, 121, 1998, 552]","[ 190 1997  121 1998  552    0    0    0    0    0    0    0    0    0
    0    0]"
ursula burton portrayal nun touching funny time making fun nun church,1,11,69,"[1999, 2000, 464, 1287, 1286, 177, 8, 458, 364, 1287, 2001]","[1999 2000  464 1287 1286  177    8  458  364 1287 2001    0    0    0
    0    0]"
think disappointed,1,2,18,"[45, 71]",[45 71  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0,11,73,"[2002, 2003, 1288, 2004, 204, 634, 160, 1289, 2005, 5, 15]","[2002 2003 1288 2004  204  634  160 1289 2005    5   15    0    0    0
    0    0]"
acting bad dialog extremely shallow insincere,0,6,45,"[57, 15, 942, 328, 2006, 2007]","[  57   15  942  328 2006 2007    0    0    0    0    0    0    0    0
    0    0]"
predictable even chick flick,0,4,28,"[320, 19, 2008, 544]","[ 320   19 2008  544    0    0    0    0    0    0    0    0    0    0
    0    0]"
politically correct,0,2,19,"[2009, 1290]","[2009 1290    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
disappointing,0,1,13,[369],[369   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
thing really worth watching scenery house beautiful,1,7,51,"[31, 13, 93, 152, 949, 370, 189]",[ 31  13  93 152 949 370 189   0   0   0   0   0   0   0   0   0]
love lane never seen movie lousy,0,6,32,"[26, 1289, 38, 99, 2, 950]","[  26 1289   38   99    2  950    0    0    0    0    0    0    0    0
    0    0]"
hour half wish could bring back,0,6,31,"[104, 357, 753, 37, 470, 22]",[104 357 753  37 470  22   0   0   0   0   0   0   0   0   0   0]
term writing fresh bold,1,4,23,"[1249, 264, 191, 2010]","[1249  264  191 2010    0    0    0    0    0    0    0    0    0    0
    0    0]"
acting help writing along well maybe idiot savant sister could played better real joy watch,1,15,91,"[57, 750, 264, 951, 16, 471, 1291, 2011, 739, 37, 420, 36, 91, 635, 160]","[  57  750  264  951   16  471 1291 2011  739   37  420   36   91  635
  160    0]"
directing cinematography quite good,0,4,35,"[406, 361, 97, 1]",[406 361  97   1   0   0   0   0   0   0   0   0   0   0   0   0]
movie boring sometimes found occupied peaking paper instead watching never happened columbo movie before,0,14,104,"[2, 329, 636, 113, 952, 2012, 754, 553, 152, 38, 554, 2013, 2, 555]","[   2  329  636  113  952 2012  754  553  152   38  554 2013    2  555
    0    0]"
sometimes embarrassing look away,0,4,32,"[636, 634, 48, 242]",[636 634  48 242   0   0   0   0   0   0   0   0   0   0   0   0]
directing seems pretentious,0,3,27,"[406, 421, 1275]","[ 406  421 1275    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
scene oh so mature neighbour girl misplace,0,7,42,"[78, 371, 556, 1292, 2014, 365, 2015]","[  78  371  556 1292 2014  365 2015    0    0    0    0    0    0    0
    0    0]"
generally line plot weaker average episode,0,6,42,"[629, 130, 108, 2016, 405, 755]","[ 629  130  108 2016  405  755    0    0    0    0    0    0    0    0
    0    0]"
scene debated whether sack trumpeter who falsely accused murder pure horror really stupid,0,13,89,"[78, 2017, 628, 2018, 2019, 953, 2020, 2021, 2022, 927, 368, 13, 206]","[  78 2017  628 2018 2019  953 2020 2021 2022  927  368   13  206    0
    0    0]"
applause given prelude however,1,4,30,"[2023, 416, 2024, 161]","[2023  416 2024  161    0    0    0    0    0    0    0    0    0    0
    0    0]"
really liked that,1,3,17,"[13, 239, 82]",[ 13 239  82   0   0   0   0   0   0   0   0   0   0   0   0   0]
great film great director,1,4,25,"[3, 5, 3, 265]",[  3   5   3 265   0   0   0   0   0   0   0   0   0   0   0   0]
movie edge seat made somewhat afraid go car end night,1,10,53,"[2, 954, 955, 28, 956, 1293, 21, 153, 154, 162]","[   2  954  955   28  956 1293   21  153  154  162    0    0    0    0
    0    0]"
music film really nice too,1,5,26,"[175, 5, 13, 32, 179]",[175   5  13  32 179   0   0   0   0   0   0   0   0   0   0   0]
advise anyone go see it,1,5,23,"[756, 129, 21, 50, 7]",[756 129  21  50   7   0   0   0   0   0   0   0   0   0   0   0]
brilliant,1,1,9,[472],[472   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
liked movie way much,1,4,20,"[239, 2, 43, 33]",[239   2  43  33   0   0   0   0   0   0   0   0   0   0   0   0]
problem thought actor playing villain low rent michael ironside,0,9,63,"[66, 128, 121, 473, 2025, 201, 557, 2026, 2027]","[  66  128  121  473 2025  201  557 2026 2027    0    0    0    0    0
    0    0]"
rocked world certainly must see anyone social physical outlet,1,9,61,"[2028, 422, 294, 155, 50, 129, 2029, 2030, 757]","[2028  422  294  155   50  129 2029 2030  757    0    0    0    0    0
    0    0]"
however make fact overall tremendously boring movie,0,7,51,"[161, 29, 266, 159, 1294, 329, 2]","[ 161   29  266  159 1294  329    2    0    0    0    0    0    0    0
    0    0]"
several moment movie need excruciatingly slow moving,0,7,52,"[267, 957, 2, 192, 2031, 147, 611]","[ 267  957    2  192 2031  147  611    0    0    0    0    0    0    0
    0    0]"
poor remake my best friend wedding,0,6,34,"[101, 958, 637, 18, 268, 2032]","[ 101  958  637   18  268 2032    0    0    0    0    0    0    0    0
    0    0]"
all great disappointment,0,3,24,"[100, 3, 330]",[100   3 330   0   0   0   0   0   0   0   0   0   0   0   0   0]
cannot believe actor agreed film,0,5,32,"[372, 300, 121, 2033, 5]","[ 372  300  121 2033    5    0    0    0    0    0    0    0    0    0
    0    0]"
could stand even watch long fear losing i q,0,9,43,"[37, 1295, 19, 160, 89, 959, 1296, 243, 758]","[  37 1295   19  160   89  959 1296  243  758    0    0    0    0    0
    0    0]"
guess nobody network aired dribble watched putting on,0,8,53,"[358, 960, 759, 2034, 2035, 331, 961, 301]","[ 358  960  759 2034 2035  331  961  301    0    0    0    0    0    0
    0    0]"
imdb rating go low awful time get negative number case these,0,11,60,"[2036, 474, 21, 201, 137, 8, 25, 934, 543, 52, 760]","[2036  474   21  201  137    8   25  934  543   52  760    0    0    0
    0    0]"
saw mirrormask last night unsatisfactory experience,0,6,51,"[257, 2037, 122, 162, 1297, 75]","[ 257 2037  122  162 1297   75    0    0    0    0    0    0    0    0
    0    0]"
unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0,12,98,"[269, 2038, 638, 2039, 78, 78, 761, 63, 43, 2040, 2041, 962]","[ 269 2038  638 2039   78   78  761   63   43 2040 2041  962    0    0
    0    0]"
central theme film handled ineptly stereotypically depth imagination,0,8,68,"[1298, 1299, 5, 963, 2042, 2043, 762, 964]","[1298 1299    5  963 2042 2043  762  964    0    0    0    0    0    0
    0    0]"
pretty picture world cannot make piece work flawed core,0,9,55,"[46, 176, 422, 372, 29, 80, 14, 965, 1300]","[  46  176  422  372   29   80   14  965 1300    0    0    0    0    0
    0    0]"
hour half waste time following bunch pretty high schoolers whine cry life,0,12,73,"[104, 357, 84, 8, 1301, 966, 46, 302, 2044, 1302, 2045, 92]","[ 104  357   84    8 1301  966   46  302 2044 1302 2045   92    0    0
    0    0]"
can t relate them hell barely understand them,0,8,45,"[106, 74, 2046, 332, 967, 333, 303, 332]","[ 106   74 2046  332  967  333  303  332    0    0    0    0    0    0
    0    0]"
definitely cult classic well worth viewing sharing others,1,8,57,"[65, 639, 418, 16, 93, 1303, 2047, 475]","[  65  639  418   16   93 1303 2047  475    0    0    0    0    0    0
    0    0]"
movie pure disaster story stupid editing worst seen confuses incredibly,0,10,71,"[2, 927, 1304, 98, 206, 541, 51, 99, 2048, 763]","[   2  927 1304   98  206  541   51   99 2048  763    0    0    0    0
    0    0]"
fish badly made underwater shot repeated thousand time film,0,9,59,"[558, 1269, 28, 2049, 327, 2050, 2051, 8, 5]","[ 558 1269   28 2049  327 2050 2051    8    5    0    0    0    0    0
    0    0]"
truly truly bad film,0,4,20,"[304, 304, 15, 5]",[304 304  15   5   0   0   0   0   0   0   0   0   0   0   0   0]
acting terrible writing worse,0,4,29,"[57, 72, 264, 305]",[ 57  72 264 305   0   0   0   0   0   0   0   0   0   0   0   0]
possible way movie could redeemed would mstk fodder,0,8,51,"[476, 43, 2, 37, 2052, 17, 2053, 2054]","[ 476   43    2   37 2052   17 2053 2054    0    0    0    0    0    0
    0    0]"
paid much,0,2,9,"[764, 33]",[764  33   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
also real treat see anthony quinn playing crazy horse,1,9,53,"[23, 91, 968, 50, 2055, 2056, 473, 765, 2057]","[  23   91  968   50 2055 2056  473  765 2057    0    0    0    0    0
    0    0]"
boring,0,1,6,[329],[329   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
plot whatsoever,0,2,15,"[108, 640]",[108 640   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
again plot all,0,3,14,"[69, 108, 100]",[ 69 108 100   0   0   0   0   0   0   0   0   0   0   0   0   0]
horrible,0,1,8,[163],[163   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
worst hour half life oh gosh,0,6,28,"[51, 104, 357, 92, 371, 1305]","[  51  104  357   92  371 1305    0    0    0    0    0    0    0    0
    0    0]"
walk theatre minute get relief,0,5,30,"[2058, 1306, 54, 25, 2059]","[2058 1306   54   25 2059    0    0    0    0    0    0    0    0    0
    0    0]"
hate movie like that,0,4,20,"[477, 2, 11, 82]",[477   2  11  82   0   0   0   0   0   0   0   0   0   0   0   0]
yeah movie pretty much sucked,0,5,29,"[969, 2, 46, 33, 270]",[969   2  46  33 270   0   0   0   0   0   0   0   0   0   0   0]
plot storyline,0,2,14,"[108, 970]",[108 970   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
go see movie bring pillow girlfriend boyfriend keep occupied out,0,10,64,"[21, 50, 2, 470, 2060, 971, 766, 291, 952, 290]","[  21   50    2  470 2060  971  766  291  952  290    0    0    0    0
    0    0]"
awful,0,1,5,[137],[137   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
think ever gone movie disliked much,0,6,35,"[45, 20, 767, 2, 1307, 33]","[  45   20  767    2 1307   33    0    0    0    0    0    0    0    0
    0    0]"
good thing ticket cost five dollar would mad paid see crap,0,11,58,"[1, 31, 2061, 412, 768, 972, 17, 1308, 764, 50, 324]","[   1   31 2061  412  768  972   17 1308  764   50  324    0    0    0
    0    0]"
nobody identifies character cardboard cutout stereotype or predictably reverse stereotype,0,10,89,"[960, 2062, 39, 2063, 1309, 973, 974, 1310, 1311, 973]","[ 960 2062   39 2063 1309  973  974 1310 1311  973    0    0    0    0
    0    0]"
crash depressing little nothing provokes emotion teach nothing already know racism prejudice bad thing,0,14,102,"[2064, 1312, 63, 95, 2065, 1313, 2066, 95, 769, 76, 2067, 2068, 15, 31]","[2064 1312   63   95 2065 1313 2066   95  769   76 2067 2068   15   31
    0    0]"
still like movie empowerment woman there enough movie like one,1,10,62,"[56, 11, 2, 2069, 975, 115, 61, 2, 11, 6]","[  56   11    2 2069  975  115   61    2   11    6    0    0    0    0
    0    0]"
brain attempt shut down part primal impulse self preservation,0,9,61,"[2070, 770, 2071, 478, 135, 2072, 2073, 479, 2074]","[2070  770 2071  478  135 2072 2073  479 2074    0    0    0    0    0
    0    0]"
left shattered experience watching film took good two hour fully recover,0,11,72,"[271, 2075, 75, 152, 5, 272, 1, 59, 104, 1314, 2076]","[ 271 2075   75  152    5  272    1   59  104 1314 2076    0    0    0
    0    0]"
movie join revenge boogeyman zombiez part hellish trinity horror film,0,10,69,"[2, 1315, 2077, 2078, 2079, 135, 2080, 2081, 368, 5]","[   2 1315 2077 2078 2079  135 2080 2081  368    5    0    0    0    0
    0    0]"
certainly mean distinction good way,0,5,35,"[294, 423, 2082, 1, 43]","[ 294  423 2082    1   43    0    0    0    0    0    0    0    0    0
    0    0]"
mean terrible way,0,3,17,"[423, 72, 43]",[423  72  43   0   0   0   0   0   0   0   0   0   0   0   0   0]
film redeeming feature,0,3,22,"[5, 976, 306]",[  5 976 306   0   0   0   0   0   0   0   0   0   0   0   0   0]
everything appalling,0,2,20,"[60, 977]",[ 60 977   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
artless camera work endlessly present u ugliest setting imaginable i e,0,11,70,"[2083, 164, 14, 2084, 978, 102, 2085, 480, 1255, 243, 771]","[2083  164   14 2084  978  102 2085  480 1255  243  771    0    0    0
    0    0]"
story beyond stupid,0,3,19,"[98, 481, 206]",[ 98 481 206   0   0   0   0   0   0   0   0   0   0   0   0   0]
script script,0,2,13,"[114, 114]",[114 114   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
kid annoying,0,2,12,"[292, 466]",[292 466   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
lead man charisma free,0,4,22,"[641, 356, 1316, 373]","[ 641  356 1316  373    0    0    0    0    0    0    0    0    0    0
    0    0]"
utterly without merit level akin torture,0,6,40,"[626, 244, 2086, 542, 2087, 772]","[ 626  244 2086  542 2087  772    0    0    0    0    0    0    0    0
    0    0]"
even say torture,0,3,16,"[19, 55, 772]",[ 19  55 772   0   0   0   0   0   0   0   0   0   0   0   0   0]
